"id","created_by","created_date","menu","modified_by","modified_date","status_id","sub_menu"
15001,1,NULL,"ASSET REGISTER",1,NULL,1,"ASSET MONTHLY TARGETS"
15002,1,NULL,"ASSET REGISTER",1,NULL,1,"DOWNLOAD MOBILE APP"
15004,1,NULL,"ASSET REGISTER",1,NULL,1,"ELEMENTARY SECTIONS"
15005,1,NULL,"ASSET REGISTER",1,NULL,1,"FOOT PATROLLING SECTIONS"
15006,1,NULL,"ASSET REGISTER",1,NULL,1,"GANTRY"
15007,1,NULL,"ASSET REGISTER",1,NULL,1,"GUIDENCE_ITEM"
15008,1,NULL,"ASSET REGISTER",1,NULL,1,"OHE ASSET MASTER"
15009,1,NULL,"ASSET REGISTER",1,NULL,1,"OHE LOCATIONS"
15010,1,NULL,"ASSET REGISTER",1,NULL,1,"SECTOR"
15011,1,NULL,"ASSET REGISTER",1,NULL,1,"SIDING_DETAILS"
15012,1,NULL,"ASSET REGISTER",1,NULL,1,"SUB SECTOR"
15013,1,NULL,"ASSET REGISTER",1,NULL,1,"TRACK_DATA"
15014,1,NULL,"CONTENT MANAGEMENT",1,NULL,1,"CONTENT MANAGEMENT"
15016,1,NULL,"DAILY SUMM",1,NULL,1,"DAILY SUMMARY FORECAST"
15017,1,NULL,"DAILY SUMM",1,NULL,1,"OFFICERS MOVEMENT"
15018,1,NULL,"DASHBOARD",1,NULL,1,"DASHBOARD"
15019,1,NULL,"DRIVES",1,NULL,1,"DRIVE_CATEGORY"
15020,1,NULL,"DRIVES",1,NULL,1,"DRIVE_CATEGORY_ASSO"
15025,1,NULL,"DRIVES",1,NULL,1,"DRIVES"
15026,1,NULL,"ENERGY",1,NULL,1,"ENERGY CONSUMPTION"
15027,1,NULL,"ENERGY",1,NULL,1,"ENERGY METER"
15029,1,NULL,"ENERGY",1,NULL,1,"TRACTION_ENERGY_TARIFF"
15035,1,NULL,"FAILURES",1,NULL,1,"ACTIONS"
15036,1,NULL,"FAILURES",1,NULL,1,"CB TRIPPINGS"
15037,1,NULL,"FAILURES",1,NULL,1,"FAILURE OCCURRENCE"
15039,1,NULL,"FAILURES",1,NULL,1,"GRID FAILURES"
15040,1,NULL,"FAILURES",1,NULL,1,"RC FAILURES"
15041,1,NULL,"FAILURES",1,NULL,1,"UNUSUAL OCCURRENCE"
15043,1,NULL,"INSPECTIONS",1,NULL,1,"STIPULATIONS"
15044,1,NULL,"MAINTENANCE",1,NULL,1,"ASSET MEASURE ENTRY FORM"
15045,1,NULL,"MAINTENANCE",1,NULL,1,"ASSET SCHEDULE HISTORY"
15046,1,NULL,"MAINTENANCE",1,NULL,1,"ASSET SCHEDULE OUT STANDING/PLANNING"
15047,1,NULL,"MAINTENANCE",1,NULL,1,"ASSET STATUS CHANGE"
15048,1,NULL,"MAINTENANCE",1,NULL,1,"COMPLIANCES"
15049,1,NULL,"MAINTENANCE",1,NULL,1,"DAILY MAINTENANCE PROGRESS"
15050,1,NULL,"MAINTENANCE",1,NULL,1,"FOOT PATROLLING INSPECTION"
15051,1,NULL,"MAINTENANCE",1,NULL,1,"LOCAL POWER BLOCKS"
15052,1,NULL,"MAINTENANCE",1,NULL,1,"OBSERVATIONS"
15053,1,NULL,"MAINTENANCE",1,NULL,1,"POWER BLOCKS"
15054,1,NULL,"MAINTENANCE",1,NULL,1,"PRECAUTIONARY MEASURES"
15055,1,NULL,"MAINTENANCE",1,NULL,1,"PSI OPERATIONS"
15056,1,NULL,"MASTERS",1,NULL,1,"DEPARTMENT"
