"id","created_by","created_on","modified_by","modified_on","page","status","master_role_id","menu_id","permission_id"
15001,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",9,15112,5
15002,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",27,15053,5
15003,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",5,15085,5
15004,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",1,15060,5
15005,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",21,15013,5
1301,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",19,15045,5
15007,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",25,15046,5
15008,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",21,15112,5
15009,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",23,15013,5
15010,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",26,15117,5
15012,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",16,15115,5
15013,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",2,15094,5
1302,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",19,15127,5
15015,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",11,15070,5
15016,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",5,15119,5
15017,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",26,15004,5
15018,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",27,15009,5
15019,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",26,15107,5
15020,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",22,15114,5
15021,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",12,15113,5
15022,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",27,15049,5
15023,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",26,15085,5
15024,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",2,15048,5
15025,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",3,15102,5
15027,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",1,15081,5
15028,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",4,15099,5
15031,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",1,15093,5
15032,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",11,15111,5
15033,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",5,15117,5
15034,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",7,15092,5
15036,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",28,15087,5
15039,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",5,15101,5
15040,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",21,15025,5
15041,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",8,15109,5
15042,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",25,15122,5
15043,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",24,15112,5
15044,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",2,15104,5
15045,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",5,15062,5
15046,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",1,15114,5
15047,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",2,15061,5
15048,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",12,15001,5
15049,"15020","2020-01-01 00:00:00","15020","2020-01-01 00:00:00",NULL,"1",5,15107,5
