"id","data_type","data_wizard","parameter_name","prompt_label","report_id","services","short_name"
1,"string","drop_down","zone",NULL,"Asset Status Report",NULL,NULL
12,"string","drop_down","zone",NULL,"CB Trippings Report without SubDiv",NULL,NULL
13,"string","drop_down","division",NULL,"CB Trippings Report without SubDiv",NULL,NULL
14,"string","drop_down","subDivision",NULL,"CB Trippings Report without SubDiv",NULL,NULL
15,"timestamp with time zone","date_wizard","failureFromDate",NULL,"CB Trippings Report without SubDiv",NULL,NULL
16,"timestamp with time zone","date_wizard","failureToDate",NULL,"CB Trippings Report without SubDiv",NULL,NULL
17,"string","drop_down","zone",NULL,"CB Trippings subDivision Report",NULL,NULL
18,"string","drop_down","division",NULL,"CB Trippings subDivision Report",NULL,NULL
19,"string","drop_down","subDivision",NULL,"CB Trippings subDivision Report",NULL,NULL
20,"timestamp with time zone","date_wizard","failureFromDate",NULL,"CB Trippings subDivision Report",NULL,NULL
21,"timestamp with time zone","data_wizard","failureToDate",NULL,"CB Trippings subDivision Report",NULL,NULL
22,"string","drop_down","zone",NULL,"Daily Progress ForeCast Report",NULL,NULL
23,"string","drop_down","division",NULL,"Daily Progress ForeCast Report",NULL,NULL
24,"string","drop_down","subDivision",NULL,"Daily Progress ForeCast Report",NULL,NULL
25,"timestamp with time zone","date_wizard","date",NULL,"Daily Progress ForeCast Report",NULL,NULL
26,"string","drop_down","zone",NULL,"Daily Progress Report",NULL,NULL
27,"string","drop_down","division",NULL,"Daily Progress Report",NULL,NULL
28,"string","drop_down","subDivision",NULL,"Daily Progress Report",NULL,NULL
29,"timestamp with time zone","date_wizard","date",NULL,"Daily Progress Report",NULL,NULL
30,"string","drop_down","zone",NULL,"Day Readings And Consumption Report",NULL,NULL
31,"string","drop_down","division",NULL,"Day Readings And Consumption Report",NULL,NULL
32,"string","drop_down","subDivision",NULL,"Day Readings And Consumption Report",NULL,NULL
33,"timestamp with time zone","date_wizard","DayReadingsAndConsumptionDate",NULL,"Day Readings And Consumption Report",NULL,NULL
34,"string","drop_down","zone",NULL,"Energy Day Consumption Report",NULL,NULL
35,"string","drop_down","division",NULL,"Energy Day Consumption Report",NULL,NULL
36,"string","drop_down","subDivision",NULL,"Energy Day Consumption Report",NULL,NULL
37,"timestamp with time zone","date_wizard","Date",NULL,"Energy Day Consumption Report",NULL,NULL
38,"string","drop_down","zone",NULL,"FP Summary SubDivision",NULL,NULL
39,"string","drop_down","division",NULL,"FP Summary SubDivision",NULL,NULL
40,"string","drop_down","subDivision",NULL,"FP Summary SubDivision",NULL,NULL
42,"timestamp with time zone","date_wizard","fromDate",NULL,"FP Summary SubDivision",NULL,NULL
43,"timestamp with time zone","date_wizard","toDate",NULL,"FP Summary SubDivision",NULL,NULL
44,"string","drop_down","zone",NULL,"Foot Patroling inspection",NULL,NULL
45,"string","drop_down","division",NULL,"Foot Patroling inspection",NULL,NULL
46,"string","drop_down","subDivision",NULL,"Foot Patroling inspection",NULL,NULL
48,"timestamp with time zone","date_wizard","fromDate",NULL,"Foot Patroling inspection",NULL,NULL
49,"timestamp with time zone","date_wizard","toDate",NULL,"Foot Patroling inspection",NULL,NULL
50,"string","drop_down","zone",NULL,"Foot Patrolling Sections",NULL,NULL
51,"string","drop_down","division",NULL,"Foot Patrolling Sections",NULL,NULL
52,"string","drop_down","subDivision",NULL,"Foot Patrolling Sections",NULL,NULL
54,"timestamp with time zone","date_wizard","fromDate",NULL,"Foot Patrolling Sections",NULL,NULL
55,"timestamp with time zone","date_wizard","toDate",NULL,"Foot Patrolling Sections",NULL,NULL
56,"string","drop_down","zone",NULL,"FP_List_From_Too",NULL,NULL
57,"string","drop_down","division",NULL,"FP_List_From_Too",NULL,NULL
58,"string","drop_down","subDivision",NULL,"FP_List_From_Too",NULL,NULL
60,"string","date_wizard","fromDate",NULL,"FP_List_From_Too",NULL,NULL
61,"timestamp with time zone","date_wizard","toDate",NULL,"FP_List_From_Too",NULL,NULL
62,"string","drop_down","zone",NULL,"subDivision inspection Summary",NULL,NULL
63,"string","drop_down","division",NULL,"subDivision inspection Summary",NULL,NULL
64,"string","drop_down","subDivision",NULL,"subDivision inspection Summary",NULL,NULL
66,"timestamp with time zone","date_wizard","fromDate",NULL,"subDivision inspection Summary",NULL,NULL
67,"timestamp with time zone","date_wizard","toDate",NULL,"subDivision inspection Summary",NULL,NULL
68,"string","drop_down","zone",NULL,"Failure Occurence Report",NULL,NULL
69,"string","drop_down","division",NULL,"Failure Occurence Report",NULL,NULL
