"id","jrxml_name","jrxml_version","report_category","report_id"
1,"T_WAGONAOH_AOH_POHReport.jrxml","5.6 version","zonal","T_WAGONAOH_AOH_POH"
2,"CheckCBTripReport.jrxml","5.6 version","zonal","Check_CB_TRIP"
3,"CBTripping_PositionReport.jrxml","5.6 version","zonal","CB_Tripping position"
4,"powerSUpplyFailure.jrxml","5.6 version","zonal","powerSupplyFailure"
5,"dailyEnergyReport.jrxml","5.6 version","zonal","Energy Jun"
6,"CBTripJuneReport.jrxml","5.6 version","zonal","CBTrippings Report"
7,"T_WAGONAOH_AOH_POH_withduesReport.jrxml","5.6 version","zonal","T_WAGONAOH_AOH_POH with dues"
8,"FailuresReport.jrxml","5.6 version","zonal","FailuresReport"
9,"DailyProgressTopPage.jrxml","5.6 version","zonal","DailyProgress TopPage"
10,"DailyProgressCumulativeOfLastYear.jrxml","5.6 version","zonal","DailyProgressCumulativeOfLastYear"
11,"DailyProgressCumulativeOfCurrentYear.jrxml","5.6 version","zonal","DailyProgressCumulativeOfCurrentYear"
12,"DailyProgressCumulativeOfTotalYear.jrxml","5.6 version","zonal","DailyProgressCumulativeOfTotalYear"
13,"towercarSubreport.jrxml","5.6 version","zonal","towercarSubreport"
14,"towercarpositionbreakdownSubreport.jrxml","5.6 version","zonal","towercarpositionbreakdown_subreport"
15,"Powerfailure_subreport.jrxml","5.6 version","zonal","Powerfailure_subreport"
16,"unUsualOcuurense_SubReport.jrxml","5.6 version","zonal","unUsualOcuurense_SubReport"
17,"assetStatusTrackRept.jrxml","3.7.6 version","DailyProgress","Asset Status Report"
18,"CBTrippingsReport.jrxml","3.7.6 version","DailyProgress","CB Trippings Report"
19,"cbTrippingsReport.jrxml","3.7.6 version","DailyProgress","CB Trippings Report without SubDiv"
20,"CBTripSubDivReport.jrxml","3.7.6 version","DailyProgress","CB Trippings subDivision Report"
21,"DailyProgressForecastReport.jrxml","3.7.6 version","DailyProgress","Daily Progress ForeCast Report"
22,"DailyProgressReport.jrxml","3.7.6 version","DailyProgress","Daily Progress Report"
23,"readingsReport.jrxml","3.7.6 version","DailyProgress","Day Readings And Consumption Report"
24,"energyDayConsumptionReport.jrxml","3.7.6 version","DailyProgress","Energy Day Consumption Report"
25,"inspectionSummaryRept.jrxml","3.7.6 version","DailyProgress","FP Summary SubDivision"
26,"footPatroinspRept.jrxml","3.7.6 version","DailyProgress","Foot Patroling inspection"
27,"footPatroSectionRept.jrxml","3.7.6 version","DailyProgress","Foot Patrolling Sections"
28,"fplistRept.jrxml","3.7.6 version","DailyProgress","FP_List_From_Too"
