id,created_stamp,created_tx_stamp,description,has_table,last_updated_stamp,last_updated_tx_stamp,parent_type_id,status_type_id
1,12/5/2012 11:22,12/5/2012 11:22,Internal Job Posting Status,NULL,12/5/2012 11:22,12/5/2012 11:22,NULL,IJP_STATUS
2,12/5/2012 11:22,12/5/2012 11:22,Relocation Status,NULL,12/5/2012 11:22,12/5/2012 11:22,NULL,RELOCATION_STATUS
3,12/5/2012 11:22,12/5/2012 11:22,Training Status,NULL,12/5/2012 11:22,12/5/2012 11:22,NULL,TRAINING_STATUS
4,12/5/2012 11:22,12/5/2012 11:22,Employee Leave Status,NULL,12/5/2012 11:22,12/5/2012 11:22,NULL,LEAVE_STATUS
5,11/29/2010 12:48,11/29/2010 12:48,Acctg Entry Reconcile,N,11/24/2012 12:19,11/24/2012 12:19,NULL,ACCTG_ENREC_STATUS
6,11/29/2010 12:49,11/29/2010 12:49,Agreement,NULL,11/24/2012 12:19,11/24/2012 12:19,NULL,AGREEMENT
7,11/29/2010 12:49,11/29/2010 12:49,Amazon Order Document,N,11/24/2012 12:19,11/24/2012 12:19,NULL,AMZN_DOC
8,11/29/2010 12:49,11/29/2010 12:49,Amazon Order,N,11/24/2012 12:19,11/24/2012 12:19,NULL,AMZN_ORDER
9,11/29/2010 12:49,11/29/2010 12:49,Amazon Product Statuses,N,11/24/2012 12:19,11/24/2012 12:19,NULL,AMZN_PRODUCT
10,11/29/2010 12:49,11/29/2010 12:49,Amazon Order,N,11/24/2012 12:19,11/24/2012 12:19,NULL,AMZN_SHIP
11,11/29/2010 12:48,11/29/2010 12:48,Budget,N,11/24/2012 12:19,11/24/2012 12:19,NULL,BUDGET_STATUS
12,11/29/2010 12:48,11/29/2010 12:48,Calendar,N,11/24/2012 12:19,11/24/2012 12:19,WORK_EFFORT_STATUS,CALENDAR_STATUS
13,11/29/2010 12:48,11/29/2010 12:48,Case,N,11/24/2012 12:19,11/24/2012 12:19,NULL,CASE_STATUS
14,11/29/2010 12:48,11/29/2010 12:48,Content Approval Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,CNTNTAPPR_STATUS
15,11/29/2010 12:48,11/29/2010 12:48,Communication Event Role,N,11/24/2012 12:19,11/24/2012 12:19,COM_EVENT_STATUS,COM_EVENT_ROL_STATUS
16,11/29/2010 12:48,11/29/2010 12:48,Communication Event,N,11/24/2012 12:19,11/24/2012 12:19,NULL,COM_EVENT_STATUS
17,11/29/2010 12:48,11/29/2010 12:48,Contact List Party,N,11/24/2012 12:19,11/24/2012 12:19,NULL,CONTACTLST_PARTY
18,11/29/2010 12:48,11/29/2010 12:48,Content,N,11/24/2012 12:19,11/24/2012 12:19,NULL,CONTENT_STATUS
19,11/29/2010 12:48,11/29/2010 12:48,Custom Request Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,CUSTREQ_STTS
20,11/29/2010 12:49,11/29/2010 12:49,Data Import Status,NULL,11/24/2012 12:19,11/24/2012 12:19,NULL,DATAIMPORT
21,11/29/2010 12:48,11/29/2010 12:48,Employment Application,N,11/24/2012 12:19,11/24/2012 12:19,NULL,EMPLOYMENT_APP_STTS
22,11/29/2010 12:48,11/29/2010 12:48,Employee Position Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,EMPL_POSITION_STATUS
23,11/29/2010 12:48,11/29/2010 12:48,Entity Sync Run,N,11/24/2012 12:19,11/24/2012 12:19,NULL,ENTSYNC_RUN
24,11/29/2010 12:48,11/29/2010 12:48,Event,N,11/24/2012 12:19,11/24/2012 12:19,CALENDAR_STATUS,EVENT_STATUS
25,11/29/2010 12:48,11/29/2010 12:48,Example,N,11/24/2012 12:19,11/24/2012 12:19,NULL,EXAMPLE_STATUS
26,11/29/2010 12:48,11/29/2010 12:48,Fixed Asset Assignment Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,FA_ASGN_STATUS
27,11/29/2010 12:48,11/29/2010 12:48,Financial Account Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,FINACCT_STATUS
28,11/29/2010 12:48,11/29/2010 12:48,Fixed Asset Maintenance,N,11/24/2012 12:19,11/24/2012 12:19,NULL,FIXEDAST_MNT_STATUS
29,11/29/2010 12:48,11/29/2010 12:48,Degree status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,HR_DEGREE_STATUS
30,11/29/2010 12:48,11/29/2010 12:48,Job status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,HR_JOB_STATUS
31,11/29/2010 12:48,11/29/2010 12:48,Inventory Item,N,11/24/2012 12:19,11/24/2012 12:19,NULL,INVENTORY_ITEM_STTS
32,11/29/2010 12:48,11/29/2010 12:48,Inventory Transfer,N,11/24/2012 12:19,11/24/2012 12:19,NULL,INVENTORY_XFER_STTS
33,11/29/2010 12:49,11/29/2010 12:49,Invoice Processing Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,INVOICE_PROCESS_STTS
34,11/29/2010 12:48,11/29/2010 12:48,Non-Serialized Inventory Item,N,11/24/2012 12:19,11/24/2012 12:19,INVENTORY_ITEM_STTS,INV_NON_SER_STTS
35,11/29/2010 12:48,11/29/2010 12:48,Serialized Inventory Item,N,11/24/2012 12:19,11/24/2012 12:19,INVENTORY_ITEM_STTS,INV_SERIALIZED_STTS
36,11/29/2010 12:48,11/29/2010 12:48,Lead Status,NULL,11/24/2012 12:19,11/24/2012 12:19,PARTY_STATUS,LEAD_STATUS
37,11/29/2010 12:48,11/29/2010 12:48,Marketing Campaign,N,11/24/2012 12:19,11/24/2012 12:19,NULL,MKTG_CAMP_STATUS
38,11/29/2010 12:48,11/29/2010 12:48,OAGIS Message Processing Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,OAGIS_MP_STATUS
39,11/29/2010 12:48,11/29/2010 12:48,Order Item Ship Group status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,OISG_STATUS
40,11/29/2010 12:48,11/29/2010 12:48,Order Delivery Schedule,N,11/24/2012 12:19,11/24/2012 12:19,NULL,ORDER_DEL_SCH
41,11/29/2010 12:48,11/29/2010 12:48,Order Item,N,11/24/2012 12:19,11/24/2012 12:19,ORDER_STATUS,ORDER_ITEM_STATUS
42,11/29/2010 12:48,11/29/2010 12:48,Order Return Status For Customer Returns,N,11/24/2012 12:19,11/24/2012 12:19,NULL,ORDER_RETURN_STTS
43,11/29/2010 12:48,11/29/2010 12:48,Order,N,11/24/2012 12:19,11/24/2012 12:19,NULL,ORDER_STATUS
44,11/29/2010 12:48,11/29/2010 12:48,PartyQual verification status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PARTYQUAL_VERIFY
45,11/29/2010 12:48,11/29/2010 12:48,Party Asset,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PARTY_ASSET_STATUS
46,11/29/2010 12:48,11/29/2010 12:48,Party Invitation,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PARTY_INV_STATUS
47,11/29/2010 12:49,11/29/2010 12:49,Status codes for parties which are leads (role = PROSPECT),N,11/24/2012 12:19,11/24/2012 12:19,PARTY_STATUS,PARTY_LEAD_STATUS
48,11/29/2010 12:48,11/29/2010 12:48,Party Relationship,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PARTY_REL_STATUS
49,11/29/2010 12:48,11/29/2010 12:48,Payment Preference,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PAYMENT_PREF_STATUS
50,11/29/2010 12:48,11/29/2010 12:48,Picklist Item,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PICKITEM_STATUS
51,11/29/2010 12:48,11/29/2010 12:48,Picklist,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PICKLIST_STATUS
52,11/29/2010 12:48,11/29/2010 12:48,Payment Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PMNT_STATUS
53,11/29/2010 12:48,11/29/2010 12:48,Order Return Status For Supplier Returns,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PORDER_RETURN_STTS
54,11/29/2010 12:48,11/29/2010 12:48,Pos Transaction,N,11/24/2012 12:19,11/24/2012 12:19,NULL,POSTX_STATUS
55,11/29/2010 12:48,11/29/2010 12:48,Production Run Status,N,11/24/2012 12:19,11/24/2012 12:19,WORK_EFFORT_STATUS,PRODUCTION_RUN
56,11/29/2010 12:48,11/29/2010 12:48,Product Review,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PRODUCT_REVIEW_STTS
57,11/29/2010 12:48,11/29/2010 12:48,Project,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PROJECT
58,11/29/2010 12:48,11/29/2010 12:48,Project Assignment,N,11/24/2012 12:19,11/24/2012 12:19,PROJECT,PROJECT_ASSGN_STATUS
59,11/29/2010 12:48,11/29/2010 12:48,Project status,N,11/24/2012 12:19,11/24/2012 12:19,PROJECT,PROJECT_STATUS
60,11/29/2010 12:48,11/29/2010 12:48,Project Task,N,11/24/2012 12:19,11/24/2012 12:19,PROJECT,PROJECT_TASK_STATUS
61,11/29/2010 12:48,11/29/2010 12:48,Party Assignment Status,N,11/24/2012 12:19,11/24/2012 12:19,WORK_EFFORT_STATUS,PRTYASGN_STATUS
62,11/29/2010 12:48,11/29/2010 12:48,Purchase Shipment,N,11/24/2012 12:19,11/24/2012 12:19,NULL,PURCH_SHIP_STATUS
63,11/29/2010 12:49,11/29/2010 12:49,Quote Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,QUOTE_STATUS
64,11/29/2010 12:48,11/29/2010 12:48,Requirement Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,REQUIREMENT_STATUS
65,11/29/2010 12:48,11/29/2010 12:48,Manufacturing Task and Routing status,N,11/24/2012 12:19,11/24/2012 12:19,WORK_EFFORT_STATUS,ROUTING_STATUS
66,11/29/2010 12:48,11/29/2010 12:48,Server Hit,N,11/24/2012 12:19,11/24/2012 12:19,NULL,SERVER_HIT_STATUS
67,11/29/2010 12:48,11/29/2010 12:48,Scheduled Service,N,11/24/2012 12:19,11/24/2012 12:19,NULL,SERVICE_STATUS
68,11/29/2010 12:48,11/29/2010 12:48,Shipment,N,11/24/2012 12:19,11/24/2012 12:19,NULL,SHIPMENT_STATUS
69,11/29/2010 12:48,11/29/2010 12:48,ShipmentRouteSegment:CarrierService,N,11/24/2012 12:19,11/24/2012 12:19,NULL,SHPRTSG_CS_STATUS
70,11/29/2010 12:48,11/29/2010 12:48,Synchronize,N,11/24/2012 12:19,11/24/2012 12:19,NULL,SYNCHRONIZE_STATUS
71,11/29/2010 12:48,11/29/2010 12:48,Task,N,11/24/2012 12:19,11/24/2012 12:19,CALENDAR_STATUS,TASK_STATUS
72,11/29/2010 12:48,11/29/2010 12:48,Timesheet,N,11/24/2012 12:19,11/24/2012 12:19,NULL,TIMESHEET_STATUS
73,11/29/2010 12:48,11/29/2010 12:48,Unemployment Claim,N,11/24/2012 12:19,11/24/2012 12:19,NULL,UNEMPL_CLAIM_STATUS
74,11/29/2010 12:48,11/29/2010 12:48,Web Content,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WEB_CONTENT_STATUS
75,11/29/2010 12:48,11/29/2010 12:48,Work Effort Fixed Asset Availability,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WEFA_AVAILABILITY
76,11/29/2010 12:48,11/29/2010 12:48,WorkEffort Review,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WEFF_REVIEW_STTS
77,11/29/2010 12:48,11/29/2010 12:48,Work Effort Good Standard Status,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WEFG_STATUS
78,11/29/2010 12:48,11/29/2010 12:48,Work Effort Party Availability,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WEPA_AVAILABILITY
79,11/29/2010 12:48,11/29/2010 12:48,Project,N,11/24/2012 12:19,11/24/2012 12:19,WORK_EFFORT_STATUS,WE_PROJECT_STATUS
80,11/29/2010 12:48,11/29/2010 12:48,WorkEffort Assignment,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WORK_EFFORT_ASSIGN
81,11/29/2010 12:48,11/29/2010 12:48,Workeffort,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WORK_EFFORT_STATUS
82,11/29/2010 12:48,11/29/2010 12:48,WorkEffort Asset,N,11/24/2012 12:19,11/24/2012 12:19,NULL,WORK_EFF_ASSET_STTS
83,11/29/2010 12:48,11/29/2010 12:48,Not Applicable,NULL,11/24/2012 12:19,11/24/2012 12:19,NULL,_NA_
84,9/16/2013 15:05,9/16/2013 15:05,Employee On Duty Status,NULL,9/16/2013 15:05,9/16/2013 15:05,NULL,ON_DUTY_STATUS
85,11/29/2010 12:48,11/29/2010 12:48,Request Status ,N,11/24/2012 12:19,11/24/2012 12:19,NULL,REQUEST_STATUS
86,9/12/2014 10:50,9/12/2014 10:50,Empl Working On Holiday,NULL,9/12/2014 10:50,9/12/2014 10:50,NULL,WORK_ON_HOLIDAY_STS
87,9/12/2014 10:50,9/12/2014 10:50,Employee On ATTENDANCE EXCEPTION Status,NULL,9/12/2014 10:50,9/12/2014 10:50,NULL,ATT_EXCEP_STATUS
88,11/29/2010 12:48,11/29/2010 12:48,Asset_Status_Types,NULL,11/24/2012 12:19,11/24/2012 12:19,NULL,ASSET_STATUS_TYPES
89,11/29/2010 12:48,11/29/2010 12:48,Party status,N,9/3/2019 18:14,9/3/2019 18:14,NULL,PARTY_STATUS
90,11/29/2010 12:48,11/29/2010 12:48,Invoice Status,N,9/3/2019 18:15,9/3/2019 18:14,NULL,INVOICE_STATUS
91,11/29/2010 12:48,11/29/2010 12:48,CRS_EIG_STIPULATIONS,N,9/3/2019 18:15,9/3/2019 18:14,NULL,EIG_Stipulations
92,11/29/2010 12:48,11/29/2010 12:48,Failure Analysis Action Compliance,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Failure_compliance
93,11/29/2010 12:48,11/29/2010 12:48,Guidance,N,9/3/2019 18:15,9/3/2019 18:14,NULL,guidence_item
94,11/29/2010 12:48,11/29/2010 12:48,Failure_action_status,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Failures_Action
95,11/29/2010 12:48,11/29/2010 12:48,Status of Electrification targets,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Electrification_target
96,11/29/2010 12:48,11/29/2010 12:48,TRD Works Status,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Rly_Works
97,11/29/2010 12:48,11/29/2010 12:48,TRD Works execution status,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Work_progress_status
98,11/29/2010 12:48,11/29/2010 12:48,YES_NO,N,9/3/2019 18:15,9/3/2019 18:14,NULL,YESNO_status
99,11/29/2010 12:48,11/29/2010 12:48,TRUE_FALSE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,truefalse_status
100,11/29/2010 12:48,11/29/2010 12:48,ACTIVE_PASSIVE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,Activepassive_status
101,11/29/2010 12:48,11/29/2010 12:48,DRIVE_STATUS_TYPE,n,9/3/2019 18:15,9/3/2019 18:14,NULL,Drive_status_type
102,11/29/2010 12:48,11/29/2010 12:48,PB_STATIC_STATUS,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_STATIC_STATUS
103,11/29/2010 12:48,11/29/2010 12:48,CB_INTERNAL_EXTERNAL,N,9/3/2019 18:15,9/3/2019 18:14,NULL,CB_INTERNAL_EXTERNAL
104,11/29/2010 12:48,11/29/2010 12:48,CB_NATURE_OF_CLOSURE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,CB_NATURE_OF_CLOSURE
105,11/29/2010 12:48,11/29/2010 12:48,CB_RELAY_INDICATOR,N,9/3/2019 18:15,9/3/2019 18:14,NULL,CB_RELAY_INDICATOR
106,11/29/2010 12:48,11/29/2010 12:48,PB_JURISDICTION_TYPE,N,9/3/2019 18:15,9/3/2019 18:14,NULL,PB_JURISDICTION_TYPE
