"id","create_update_delete","sequence","pre_requisite","periodicity","tab_name"
"38","DELETE","38",NULL,"Daily","indent_track"
"39","DELETE","39",NULL,"Daily","inspection"
"40","DELETE","40",NULL,"Daily","inspection_type"
"41","DELETE","41",NULL,"Daily","inventory_item"
"43","DELETE","43",NULL,"Daily","inventory_item_status"
"44","DELETE","44",NULL,"Daily","inventory_item_type"
"45","DELETE","45",NULL,"Daily","inventory_transfer"
"46","DELETE","46",NULL,"Daily","item_issuance"
"47","DELETE","47",NULL,"Daily","line"
"48","DELETE","48",NULL,"Daily","lot"
"49","DELETE","49",NULL,"Daily","make"
"50","DELETE","50",NULL,"Daily","measure_or_activity_list"
"51","DELETE","51",NULL,"Daily","model"
"52","DELETE","52",NULL,"Daily","ohe_location"
"53","DELETE","53",NULL,"Daily","party"
"54","DELETE","54",NULL,"Daily","party_contact_mech"
"55","DELETE","55",NULL,"Daily","party_contact_mech_purpose"
"57","DELETE","57",NULL,"Daily","party_role"
"58","DELETE","58",NULL,"Daily","party_status"
"61","DELETE","61",NULL,"Daily","period_type"
"62","DELETE","62",NULL,"Daily","person"
"63","DELETE","63",NULL,"Daily","power_blocks"
"64","DELETE","64",NULL,"Daily","power_blocks_amendment"
"65","DELETE","65",NULL,"Daily","priority_type"
"66","DELETE","66",NULL,"Daily","product"
"67","DELETE","67",NULL,"Daily","product_category"
"68","DELETE","68",NULL,"Daily","product_category_member"
"69","DELETE","69",NULL,"Daily","product_category_type"
"70","DELETE","70",NULL,"Daily","product_type"
"71","DELETE","71",NULL,"Daily","psi_report_registry"
"74","DELETE","74",NULL,"Daily","report_registry"
"75","DELETE","75",NULL,"Daily","requirement"
"38","CREATE","38",NULL,"Daily","indent_track"
"39","CREATE","39",NULL,"Daily","inspection"
"40","CREATE","40",NULL,"Daily","inspection_type"
"41","CREATE","41",NULL,"Daily","inventory_item"
"43","CREATE","43",NULL,"Daily","inventory_item_status"
"44","CREATE","44",NULL,"Daily","inventory_item_type"
"45","CREATE","45",NULL,"Daily","inventory_transfer"
"46","CREATE","46",NULL,"Daily","item_issuance"
"47","CREATE","47",NULL,"Daily","line"
"48","CREATE","48",NULL,"Daily","lot"
"49","CREATE","49",NULL,"Daily","make"
"50","CREATE","50",NULL,"Daily","measure_or_activity_list"
"51","CREATE","51",NULL,"Daily","model"
"52","CREATE","52",NULL,"Daily","ohe_location"
"53","CREATE","53",NULL,"Daily","party"
"54","CREATE","54",NULL,"Daily","party_contact_mech"
"55","CREATE","55",NULL,"Daily","party_contact_mech_purpose"
"57","CREATE","57",NULL,"Daily","party_role"
"58","CREATE","58",NULL,"Daily","party_status"
"61","CREATE","61",NULL,"Daily","period_type"
"62","CREATE","62",NULL,"Daily","person"
"63","CREATE","63",NULL,"Daily","power_blocks"
"64","CREATE","64",NULL,"Daily","power_blocks_amendment"
"65","CREATE","65",NULL,"Daily","priority_type"
"66","CREATE","66",NULL,"Daily","product"
"67","CREATE","67",NULL,"Daily","product_category"
"68","CREATE","68",NULL,"Daily","product_category_member"
"69","CREATE","69",NULL,"Daily","product_category_type"
"70","CREATE","70",NULL,"Daily","product_type"
"71","CREATE","71",NULL,"Daily","psi_report_registry"
"74","CREATE","74",NULL,"Daily","report_registry"
"75","CREATE","75",NULL,"Daily","requirement"
"42","CREATE","42",NULL,"Daily","inventory_item_detail"
"10","CREATE","10",NULL,"Daily","asset_schedule_assoc"
"18","CREATE","18",NULL,"Daily","country_code"
"19","CREATE","19",NULL,"Daily","country_tele_code"
"20","CREATE","20",NULL,"Daily","daily_progress_summery"
"21","CREATE","21",NULL,"Daily","departments"
"22","CREATE","22",NULL,"Daily","dmtr"
"23","CREATE","23",NULL,"Daily","dmtr_inventoryetc_assoc"
"24","CREATE","24",NULL,"Daily","elementary_section_controls"
"25","CREATE","25",NULL,"Daily","elementary_section_lines"
"92","CREATE","92",NULL,"Daily","tss_feeder_master"
"26","CREATE","26",NULL,"Daily","elementary_sections"
"27","CREATE","27",NULL,"Daily","energy_consumption"
"28","CREATE","28",NULL,"Daily","energy_meter"
"29","CREATE","29",NULL,"Daily","facility"
"42","DELETE","42",NULL,"Daily","inventory_item_detail"
"10","DELETE","10",NULL,"Daily","asset_schedule_assoc"
"18","DELETE","18",NULL,"Daily","country_code"
"19","DELETE","19",NULL,"Daily","country_tele_code"
"20","DELETE","20",NULL,"Daily","daily_progress_summery"
"21","DELETE","21",NULL,"Daily","departments"
"22","DELETE","22",NULL,"Daily","dmtr"
"23","DELETE","23",NULL,"Daily","dmtr_inventoryetc_assoc"
"24","DELETE","24",NULL,"Daily","elementary_section_controls"
"25","DELETE","25",NULL,"Daily","elementary_section_lines"
"92","DELETE","92",NULL,"Daily","tss_feeder_master"
"26","DELETE","26",NULL,"Daily","elementary_sections"
"27","DELETE","27",NULL,"Daily","energy_consumption"
"28","DELETE","28",NULL,"Daily","energy_meter"
"29","DELETE","29",NULL,"Daily","facility"
"30","DELETE","30",NULL,"Daily","facility_type"
"31","DELETE","31",NULL,"Daily","foot_patrolling_sections"
"32","DELETE","32",NULL,"Daily","functional_location_hierarchy"
"33","DELETE","33",NULL,"Daily","gantry_master_data"
"34","DELETE","34",NULL,"Daily","good_identification"
"35","DELETE","35",NULL,"Daily","good_identification_type"
"93","DELETE","93",NULL,"Daily","uom"
"94","DELETE","94",NULL,"Daily","uom_conversion"
"95","DELETE","95",NULL,"Daily","uom_type"
"36","DELETE","36",NULL,"Daily","incoming_consignment"
"11","DELETE","11",NULL,"Daily","asset_status_update"
"77","DELETE","77",NULL,"Daily","requirement_type"
"78","DELETE","78",NULL,"Daily","role_type"
"79","DELETE","79",NULL,"Daily","schedule"
"81","DELETE","81",NULL,"Daily","stations_sections"
"82","DELETE","82",NULL,"Daily","status_item"
"83","DELETE","83",NULL,"Daily","status_type"
"84","DELETE","84",NULL,"Daily","status_valid_change"
"85","DELETE","85",NULL,"Daily","structure_type"
"86","DELETE","86",NULL,"Daily","sub_sectors"
"87","DELETE","87",NULL,"Daily","switch_maintenence_history"
"88","DELETE","88",NULL,"Daily","switch_maintenence_history_amendment"
"89","DELETE","89",NULL,"Daily","telecom_number"
"90","DELETE","90",NULL,"Daily","tpc_board"
